,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ(isBreakOu…),Exit_λ(isBreakOu…)
0,23,211,261,432.6199951171875,443.5299987792969,,,250.93008422851562,0.02521844525275374,2023-06-27 13:30:00+00:00,2023-06-30 17:30:00+00:00,3 days 04:00:00,,0.0,0.0
1,23,322,387,439.139892578125,455.7999877929688,,,383.18218994140756,0.03793801359524607,2023-07-10 17:30:00+00:00,2023-07-19 14:30:00+00:00,8 days 21:00:00,,0.0,0.0
2,24,724,736,440.55999755859375,443.2749938964844,,,65.159912109375,0.006162602943835305,2023-09-19 16:30:00+00:00,2023-09-20 15:30:00+00:00,0 days 23:00:00,,0.0,0.0
3,25,813,831,426.5199890136719,430.3500061035156,,,95.75042724609375,0.00897968955382522,2023-09-27 19:30:00+00:00,2023-09-29 14:30:00+00:00,1 days 19:00:00,,0.0,0.0
4,26,998,1045,413.55999755859375,437.3299865722656,,,618.0197143554688,0.057476518894466144,2023-10-30 13:30:00+00:00,2023-11-07 19:30:00+00:00,8 days 06:00:00,,0.0,0.0
5,24,1325,1342,470.4100036621094,476.6199951171875,,,149.039794921875,0.013201231705817884,2024-01-08 16:30:00+00:00,2024-01-10 19:30:00+00:00,2 days 03:00:00,,0.0,0.0
6,22,1751,1771,515.4600219726562,513.47998046875,,,-43.5609130859375,-0.003841309547787386,2024-04-05 14:30:00+00:00,2024-04-10 13:30:00+00:00,4 days 23:00:00,,0.0,0.0
7,22,2029,2031,522.239990234375,528.0,,,126.72021484375,0.011029430670447038,2024-05-31 19:30:00+00:00,2024-06-03 14:30:00+00:00,2 days 19:00:00,,0.0,0.0
8,21,2363,2366,543.2100219726562,545.5700073242188,,,49.5596923828125,0.004344517324979202,2024-07-26 15:30:00+00:00,2024-07-26 16:30:00+00:00,0 days 01:00:00,,0.0,0.0
9,21,2418,2424,541.7100219726562,550.2899780273438,,,180.1790771484375,0.015838651135608117,2024-07-30 19:30:00+00:00,2024-07-31 14:30:00+00:00,0 days 19:00:00,,0.0,0.0
10,22,2548,2888,527.8200073242188,565.0999755859375,,,820.1593017578125,0.07063007795159071,2024-08-08 14:30:00+00:00,2024-09-17 13:30:00+00:00,39 days 23:00:00,,0.0,1.0
11,22,3045,3050,568.780029296875,571.2999877929688,,,55.4390869140625,0.004430462333934182,2024-10-04 15:30:00+00:00,2024-10-07 13:30:00+00:00,2 days 22:00:00,,0.0,0.0
12,22,3198,3223,574.1900024414062,599.27001953125,,,551.7603759765625,0.043678951188989235,2024-11-05 15:30:00+00:00,2024-11-08 19:30:00+00:00,3 days 04:00:00,,0.0,0.0
13,21,3438,3446,606.0,606.9500122070312,,,19.95025634765625,0.0015676769092924925,2024-12-16 14:30:00+00:00,2024-12-16 17:30:00+00:00,0 days 03:00:00,,0.0,0.0
14,22,3525,3528,586.969970703125,592.3400268554688,,,118.1412353515625,0.009148774929509607,2024-12-20 15:30:00+00:00,2024-12-20 16:30:00+00:00,0 days 01:00:00,,0.0,0.0
15,23,3703,3733,583.2650146484375,598.9099731445312,,,359.83404541015625,0.026823070307969266,2025-01-02 19:30:00+00:00,2025-01-06 15:30:00+00:00,3 days 20:00:00,,0.0,0.0
16,23,3806,3895,578.2000122070312,609.8300170898438,,,727.4901123046875,0.05470426187311639,2025-01-13 17:30:00+00:00,2025-01-24 16:30:00+00:00,10 days 23:00:00,,0.0,0.0
17,24,4080,4088,581.4199829101562,584.0999755859375,,,64.31982421875,0.004609392099609755,2025-03-04 19:30:00+00:00,2025-03-05 20:30:00+00:00,1 days 01:00:00,,0.0,0.0
18,26,4300,4345,552.510009765625,564.2899780273438,,,306.2791748046875,0.021320823249366683,2025-03-31 15:30:00+00:00,2025-04-02 16:30:00+00:00,2 days 01:00:00,,0.0,0.0
19,29,4432,4488,500.6050109863281,540.4500122070312,,,1155.5050354003906,0.0795936923248084,2025-04-07 19:30:00+00:00,2025-04-09 19:30:00+00:00,2 days 00:00:00,,0.0,1.0
20,31,4654,4708,510.3599853515625,550.9600219726562,,,1258.6011352539062,0.07955176304256373,2025-04-21 19:30:00+00:00,2025-04-25 17:30:00+00:00,3 days 22:00:00,,0.0,0.0
